City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,verkhniy landekh,56.84,42.6,45.5,90,100,5.75,RU,1602816857
127,kondagaon,19.6,81.67,76.69,87,99,2.08,IN,1602816857
128,beringovskiy,63.05,179.32,43.65,89,100,18.81,RU,1602816857
129,kununurra,-15.77,128.73,95.0,36,0,5.82,AU,1602816857
130,aripuana,-9.17,-60.63,77.13,71,58,1.01,BR,1602816857
131,hasaki,35.73,140.83,61.0,72,75,17.22,JP,1602816858
132,brigantine,39.41,-74.36,68.0,88,1,9.17,US,1602816858
133,pisco,-13.7,-76.22,64.4,82,88,2.24,PE,1602816858
134,tilichiki,60.47,166.1,37.36,78,100,16.89,RU,1602816858
135,fare,-16.7,-151.02,79.88,76,33,14.03,PF,1602816859
136,ouallam,14.32,2.09,88.43,34,0,6.02,NE,1602816859
137,muisne,0.6,-80.03,75.4,84,76,7.2,EC,1602816859
138,tura,25.52,90.22,84.04,69,0,1.83,IN,1602816859
139,west wendover,40.74,-114.07,53.6,23,1,0.47,US,1602816859
140,ardakan,32.31,54.02,44.6,17,0,2.24,IR,1602816860
141,cherskiy,68.75,161.3,34.7,85,12,3.11,RU,1602816860
142,palomares,17.15,-95.07,74.66,93,56,3.31,MX,1602816860
143,fort nelson,58.81,-122.7,24.8,92,75,2.24,CA,1602816860
144,clyde river,70.47,-68.59,32.0,95,90,16.11,CA,1602816860
145,tiarei,-17.53,-149.33,77.0,78,75,14.99,PF,1602816860
146,victoria,22.29,114.16,82.99,65,76,3.0,HK,1602816606
147,tikapur,28.5,81.13,75.99,91,0,1.01,NP,1602816720
148,manta,-0.95,-80.73,73.4,88,75,10.29,EC,1602816861
149,moultonborough,43.75,-71.4,60.8,63,1,11.41,US,1602816861
150,chokurdakh,70.63,147.92,31.01,99,100,11.43,RU,1602816862
151,aurangabad,19.88,75.33,75.2,94,75,4.7,IN,1602816862
152,papar,5.73,115.93,86.0,62,20,4.7,MY,1602816862
153,margate,51.38,1.39,51.01,75,75,1.99,GB,1602816758
154,lagoa,39.05,-27.98,67.93,86,85,13.02,PT,1602816862
155,kavieng,-2.57,150.8,84.29,71,95,9.04,PG,1602816862
156,mount darwin,-16.77,31.58,62.6,76,0,4.16,ZW,1602816863
157,strezhevoy,60.73,77.59,28.4,92,100,8.95,RU,1602816863
158,santa fe,-31.63,-60.7,71.01,55,7,6.98,AR,1602816672
159,cabo san lucas,22.89,-109.91,82.4,74,5,11.41,MX,1602816853
160,vao,-22.67,167.48,71.58,80,100,17.05,NC,1602816863
161,lavrentiya,65.58,-171.0,38.26,91,100,22.55,RU,1602816864
162,tiksi,71.69,128.87,23.88,97,95,3.89,RU,1602816864
163,katsuura,35.13,140.3,64.0,63,75,16.11,JP,1602816864
164,anahuac,27.23,-100.15,78.8,35,55,15.26,MX,1602816864
165,tierra colorada,17.17,-99.58,84.2,83,90,3.36,MX,1602816864
166,port augusta,-32.5,137.77,68.0,77,40,8.05,AU,1602816864
167,faya,18.39,42.45,55.4,20,0,5.08,SA,1602816865
168,iranshahr,27.2,60.68,57.2,14,0,6.93,IR,1602816865
169,karratha,-20.74,116.85,94.35,19,0,12.24,AU,1602816865
170,kalmunai,7.42,81.82,84.42,62,96,3.13,LK,1602816865
171,banepa,27.63,85.52,71.6,78,40,1.3,NP,1602816866
172,aklavik,68.22,-135.01,19.4,85,90,6.93,CA,1602816866
173,torbay,47.67,-52.73,57.0,100,90,6.93,CA,1602816611
174,birjand,32.87,59.22,37.4,25,0,6.93,IR,1602816866
175,hambantota,6.12,81.12,82.4,83,20,5.82,LK,1602816867
176,jalu,29.03,21.55,74.62,37,0,10.96,LY,1602816867
177,hofn,64.25,-15.21,45.1,78,18,1.39,IS,1602816867
178,lebu,-37.62,-73.65,50.56,82,0,11.54,CL,1602816867
179,grand gaube,-20.01,57.66,72.0,80,0,1.99,MU,1602816867
180,acajutla,13.59,-89.83,72.0,99,96,3.53,SV,1602816868
181,aksu,41.12,80.26,55.13,36,0,4.09,CN,1602816868
182,longyearbyen,78.22,15.64,26.6,86,75,11.41,SJ,1602816868
183,ancud,-41.87,-73.82,46.0,87,15,3.36,CL,1602816868
184,melilla,35.29,-2.94,64.4,68,91,4.7,ES,1602816869
185,mahuva,21.09,71.76,84.92,72,98,18.32,IN,1602816869
186,havelock,34.88,-76.9,75.0,83,90,5.82,US,1602816723
187,springbok,-29.66,17.89,62.69,29,0,5.35,ZA,1602816869
188,geraldton,-28.77,114.6,73.4,49,49,12.75,AU,1602816869
189,roald,62.58,6.13,43.0,93,49,6.93,NO,1602816870
190,port blair,11.67,92.75,82.26,79,100,11.14,IN,1602816870
191,coihaique,-45.58,-72.07,48.2,76,99,1.12,CL,1602816870
192,ginir,7.13,40.7,54.86,79,0,4.16,ET,1602816870
193,monterey,36.25,-121.25,77.0,29,1,3.36,US,1602816870
194,toora-khem,52.47,96.11,39.49,71,100,1.28,RU,1602816871
195,alamosa,37.47,-105.87,55.4,15,1,19.46,US,1602816871
196,esik,43.36,77.45,44.6,38,0,2.48,KZ,1602816871
197,nanortalik,60.14,-45.24,39.92,71,100,3.69,GL,1602816871
198,mubende,0.56,31.39,57.49,94,64,0.65,UG,1602816872
199,labuan,5.28,115.24,84.2,70,20,4.7,MY,1602816872
200,riverton,40.52,-111.94,46.99,45,1,3.36,US,1602816872
201,waingapu,-9.66,120.26,88.2,49,90,9.15,ID,1602816872
202,porto novo,6.5,2.6,78.8,88,40,8.05,BJ,1602816873
203,kalispell,48.2,-114.31,42.01,60,1,8.05,US,1602816873
204,souillac,-20.52,57.52,69.8,88,40,4.7,MU,1602816873
205,bubaque,11.28,-15.83,81.68,79,15,9.01,GW,1602816873
206,accra,5.56,-0.2,77.0,94,20,8.05,GH,1602816873
207,huanren,41.26,125.37,54.41,57,66,6.29,CN,1602816874
208,dingle,11.0,122.67,80.67,83,100,6.49,PH,1602816874
209,uthal,25.81,66.62,85.87,13,95,6.93,PK,1602816874
210,comodoro rivadavia,-45.87,-67.5,62.6,45,19,4.7,AR,1602816874
211,ivanava,52.15,25.54,39.06,93,0,4.21,BY,1602816874
212,kristiinankaupunki,62.27,21.38,39.96,85,25,5.03,FI,1602816875
213,kenora,49.82,-94.43,30.2,46,75,13.87,CA,1602816875
214,vardo,70.37,31.11,33.8,80,75,3.36,NO,1602816875
215,nouadhibou,20.93,-17.03,78.8,57,0,11.41,MR,1602816875
216,clocolan,-28.91,27.57,53.2,42,0,1.48,ZA,1602816876
217,general roca,-39.03,-67.58,69.8,60,0,2.24,AR,1602816876
218,maine-soroa,13.21,12.02,84.11,41,0,4.14,NE,1602816876
219,mayumba,-3.43,10.66,74.52,82,97,1.72,GA,1602816876
220,mount gambier,-37.83,140.77,55.4,62,90,14.99,AU,1602816876
221,guerrero negro,27.98,-114.06,77.45,67,5,14.34,MX,1602816877
222,camopi,3.17,-52.32,74.91,82,0,4.65,GF,1602816877
223,mataram,-8.58,116.12,89.6,55,40,8.05,ID,1602816877
224,mawlaik,23.63,94.42,88.63,54,0,1.83,MM,1602816877
225,banjar,-8.19,114.97,84.2,70,20,4.7,ID,1602816878
226,goroka,-6.08,145.39,68.97,82,100,1.39,PG,1602816878
227,vityazevo,44.99,37.27,57.2,71,20,4.47,RU,1602816878
228,pinotepa nacional,16.32,-98.02,76.5,90,99,1.34,MX,1602816878
229,spoleto,42.74,12.74,52.0,100,43,9.17,IT,1602816878
230,surt,31.21,16.59,79.54,34,0,12.39,LY,1602816878
231,rawson,-43.3,-65.1,69.39,41,57,21.07,AR,1602816773
232,oktyabrskiy,54.48,53.47,49.91,70,32,11.59,RU,1602816879
233,karatau,43.17,70.47,47.98,51,0,2.21,KZ,1602816879
234,palmer,42.16,-72.33,63.0,82,20,9.17,US,1602816879
235,wajima,37.4,136.9,64.4,55,40,6.93,JP,1602816879
236,salalah,17.02,54.09,77.0,69,40,5.82,OM,1602816880
237,eyl,7.98,49.82,79.23,66,11,9.26,SO,1602816880
238,micheweni,-4.97,39.83,76.96,81,5,8.95,TZ,1602816880
239,birao,10.28,22.79,72.45,87,56,3.44,CF,1602816880
240,tagusao,9.19,117.81,78.3,88,100,13.87,PH,1602816880
241,puerto del rosario,28.5,-13.86,71.6,73,75,13.87,ES,1602816881
242,mayo,38.89,-76.51,68.0,93,90,6.93,US,1602816881
243,belmonte,-15.86,-38.88,75.2,83,20,3.36,BR,1602816881
